SaleId,Country,SaleDate,ProductId,Category,ProductName,Qty,Price,Amount
4e8a10cb-277b-41ea-96f1-e5cbc4af9dc9,Norway,2024-10-19,3772.0,Water bottles,Insulated,8.0,82.31,658.48
5346405c-f60c-4dd3-9d4e-42f20f14f86c,Norway,2024-07-23,1445.0,Perfumes,Fresh,8.0,61.82,494.56
63d316c1-4c4b-42aa-8ef9-f903b69adeac,Norway,2024-06-21,6243.0,Shoes,Loafers,1.0,55.7,55.7
52ffeff5-e49c-4edd-a9ae-c17b24784b7d,Norway,2024-08-22,2981.0,Jeans,Bootcut,9.0,51.82,466.38
c08bd631-3d57-4e27-b3da-efc10d47e26d,Norway,2024-12-31,4874.0,Jeans,Slim Fit,1.0,98.1,98.1
8121c051-c09c-4132-8235-00f97e33e68f,Norway,2024-10-10,5412.0,Jeans,Skinny,3.0,71.57,214.71
8d9957fa-76fe-4cd6-917e-7f4a0f8593c3,Norway,2024-10-19,8932.0,Tshirts,Full Sleeve,4.0,86.36,345.44
3bd66a06-a22f-4331-a851-83410766699f,Norway,2025-05-03,5409.0,Tshirts,Full Sleeve,2.0,85.54,171.08
acd32f62-960f-49fc-b6a6-46ee8dd7e052,Norway,2024-06-22,5035.0,Shoes,Sandals,,45.7,457.0
c903cc1d-a6cc-4a57-8e01-4eb3c3528ba4,Norway,2024-07-01,7664.0,Jeans,Regular Fit,4.0,72.98,291.92
a2c3b917-d8a5-4a52-957b-0495722be4aa,Norway,2024-11-24,4333.0,Tshirts,Graphic Tee,1.0,43.64,43.64
5f90ee57-2472-4a76-b7c9-0c89c86aed73,Norway,2024-12-09,7942.0,Jeans,Relaxed,2.0,97.93,195.86
73a55d2e-8e1e-4525-a957-967af61b2bfd,Norway,2024-05-30,1016.0,Tshirts,Full Sleeve,3.0,55.45,166.35
d451b59f-f60b-4881-b6f3-6fc7d0096b2a,Norway,2025-01-10,5739.0,Perfumes,Aqua,6.0,68.93,413.58
002394e2-2ad9-4682-b8da-5a79a72edd5f,Norway,2024-06-06,8900.0,Jeans,Straight,9.0,58.84,529.56
d6e8aad3-403a-423a-990d-dc7345f72e6c,Norway,2025-02-02,7228.0,Smart Phone,Galaxy,4.0,60.91,243.64
a1d8507b-d7aa-4f83-99f6-864dffce50b3,Norway,2024-08-04,9361.0,Shoes,Loafers,7.0,42.56,297.92
bd3b17eb-2952-4420-8ba4-e32b4804044c,Norway,2024-12-07,2145.0,Tshirts,Graphic Tee,8.0,59.26,474.08
b2cc4372-6532-43ae-96f7-91ac4cf6a297,Norway,2024-06-30,3288.0,Water bottles,Glass,10.0,96.28,962.8
478a943a-ffb2-4fe1-8e75-69bcb99e6f7b,Norway,2025-04-20,8077.0,Tshirts,Polo Shirt,5.0,76.03,380.15
f5194ab9-813b-464b-9c46-24d335fa46fe,Norway,2025-03-21,6215.0,Smart Phone,Galaxy,10.0,86.69,866.9
57b6f1aa-f206-4a1c-ae9e-2bbfe2495790,Norway,2025-01-15,5282.0,Tshirts,Tank Top,7.0,68.76,481.32
73e5550d-b52f-4f46-80b0-8dd0fac9b5b6,Norway,2024-08-28,5029.0,Water bottles,Plastic,3.0,69.42,208.26
57750d0f-5256-4276-bba7-5385a98afcb0,Norway,2024-08-03,8533.0,Water bottles,Glass,8.0,97.69,781.52
04105bd1-5415-4636-9979-ba46f5808b59,Norway,2025-05-03,3190.0,Tshirts,Tank Top,8.0,90.83,726.64
9bd972ca-0086-4f9e-ac19-1606a57d4eb4,Norway,2024-11-15,1070.0,Water bottles,Smart,9.0,60.99,548.91
2c6cdb5a-ac36-4cb9-8273-be68e6c51969,Norway,2024-10-21,9011.0,Tshirts,Polo Shirt,10.0,43.06,430.6
14c62aba-89c2-4ba5-a48d-f4c0c330ec14,Norway,2025-03-15,2270.0,Tshirts,V-neck,7.0,61.32,429.24
d50372a8-e47f-4c7e-87ec-2d3289e4ec28,Norway,2025-03-26,8293.0,Perfumes,Aqua,3.0,46.36,139.08
f8d78cbc-5a5d-4cc5-9f98-2a0dac184ef9,Norway,2025-03-25,7166.0,Shoes,Loafers,7.0,54.13,378.91
63021daa-5ba3-449c-99ef-827fd3d4ddd3,Norway,2024-07-21,3044.0,Tshirts,Polo Shirt,8.0,91.9,735.2
3167d947-efad-4069-9ed7-d1a676730495,Norway,2024-11-02,4629.0,Shoes,Loafers,6.0,64.79,388.74
47f86de4-c227-40f2-8510-6943be3eb6f7,Norway,2025-02-02,6862.0,Tshirts,Tank Top,5.0,76.36,381.8
9d0a94df-d0f7-47b0-9708-0bbd3106e8ce,Norway,2025-01-11,4623.0,Jeans,Relaxed,6.0,69.34,416.04
f7a0be7a-7e6a-4ea7-bae9-16343bf85406,Norway,2024-10-01,1602.0,Perfumes,Aqua,4.0,97.52,390.08
b43c7851-e78d-4f32-be2a-9f7347dfa607,Norway,2025-02-12,7489.0,Water bottles,Smart,10.0,60.08,600.8
91b0af07-4700-4fcf-9eb2-d4901c66fdd9,Norway,2024-11-24,9093.0,Perfumes,Woody,8.0,56.78,454.24
a8eb2ba6-319a-4d6a-8d41-cb4c2ba46308,Norway,2025-02-24,3875.0,Tshirts,Graphic Tee,4.0,47.19,188.76
bef81d85-20d4-4165-9691-f45d10bb794e,Norway,2024-06-08,3087.0,Jeans,Regular Fit,2.0,51.9,103.8
db00ab4c-91e5-4e86-aefe-02c34276bfe1,Norway,2024-08-10,5494.0,Perfumes,Floral,9.0,61.24,551.16
05eb074d-ad90-4360-9900-b745311d2ed4,Norway,2025-02-07,9731.0,Water bottles,Insulated,3.0,67.6,202.8
8f63c2bb-ae41-4155-80bf-6f6b9d4d0658,Norway,2025-04-21,8437.0,Jeans,Skinny,10.0,56.2,562.0
a4165dd1-6d57-4fd1-b019-955f00801ed9,Norway,2025-01-30,1849.0,Shoes,Sports Shoes,4.0,79.26,317.04
6ebb7a17-52b0-447b-b052-8803da968e7d,Norway,2025-04-06,7666.0,Smart Phone,Galaxy,7.0,71.74,502.18
84aeffbe-ae1f-4957-9f28-e41746273272,Norway,2024-11-11,9119.0,Smart Phone,Pixel,9.0,77.02,693.18
0b20802f-c24f-4f4c-846a-f2e65c896b2a,Norway,2025-04-22,4678.0,Smart Phone,iPhone,1.0,82.07,82.07
6b893000-eb1b-447f-8726-9e7f0c05e009,Norway,2024-12-06,8354.0,Smart Phone,Galaxy,10.0,66.69,666.9
31d1d6cb-6450-4d3c-8152-1e6050f53bd8,Norway,2024-09-20,2340.0,Perfumes,Fresh,5.0,56.12,280.6
067ec672-cec3-46f4-9262-c536e14e21f7,Norway,2025-02-24,4696.0,Shoes,Sandals,7.0,65.29,457.03
f530c98d-6c7f-4bef-b086-47e1fa647958,Norway,2024-06-11,5095.0,Smart Phone,Galaxy,3.0,69.5,208.5
4f90f91a-5448-40de-aa1b-76e3326684ff,Norway,2024-06-07,1456.0,Jeans,Regular Fit,1.0,57.36,
