SaleId,Country,SaleDate,ProductId,Category,ProductName,Qty,Price,Amount
d34794cc-5d04-432d-9742-3882f34a7949,Japan,2024-06-04,4652.0,Jeans,Straight,3.0,483.03,1449.09
8f660bbd-54fc-486f-b457-7d47d8253010,Japan,2025-03-08,8751.0,Perfumes,Aqua,6.0,549.09,3294.54
b7461b72-5d00-4f1b-a83c-1c2bb776e729,Japan,2024-11-05,2868.0,Water bottles,Plastic,3.0,683.64,2050.92
38c46b38-a8ae-47b9-8262-cad018f1a1e4,Japan,2024-05-14,6592.0,Jeans,Skinny,3.0,401.82,1205.46
f6e5203c-a237-4e6f-9473-45345aea6352,Japan,2025-03-20,5783.0,Perfumes,Fresh,8.0,393.33,3146.64
b3bc912f-5fb7-474e-85a0-d0898c357321,Japan,2024-06-24,1750.0,Tshirts,Polo Shirt,4.0,605.45,2421.8
23f47a55-7e0f-40b2-aa06-1609e599bd3c,Japan,2025-03-29,7704.0,Shoes,Loafers,4.0,329.09,1316.36
3227e8d8-9c60-481b-8119-1aa71b61d453,Japan,2024-07-25,2978.0,Shoes,Sandals,8.0,593.94,4751.52
3730dfba-6494-4d5c-9a29-6905ee22a70b,Japan,2024-11-07,4122.0,Tshirts,Full Sleeve,2.0,503.64,1007.28
c1d48a10-1b96-4925-9682-d038b77f69b9,Japan,2024-10-21,1761.0,Perfumes,Fresh,5.0,472.73,2363.65
ac117bab-d664-4fe8-a21c-0c06ed376567,Japan,2024-12-28,3018.0,Perfumes,Floral,7.0,536.36,3754.52
75175f39-7354-44fb-a44a-0371c5ab4e57,Japan,2025-01-24,9260.0,Water bottles,Steel,5.0,623.64,3118.2
011c4544-7fb3-4be5-b6bf-2f7222778161,Japan,2024-12-05,1795.0,Jeans,Straight,6.0,554.55,3327.3
d6bca712-6ecc-4931-af70-5d018da03d88,Japan,,9328.0,Shoes,Sandals,10.0,601.82,6018.2
2d5d2395-e901-4768-abd1-4b0cc7f4f4f9,Japan,2025-02-06,3845.0,Smart Phone,iPhone,2.0,445.45,890.9
1a82833c-20dd-40ff-90b3-d752bb01b2a5,Japan,2024-10-11,6273.0,Shoes,Loafers,3.0,395.76,1187.28
6b2d9ccc-6279-403c-a1a2-cfe7810d5c57,Japan,2025-01-05,5482.0,Perfumes,Fresh,4.0,376.36,1505.44
